记录条数   时间  bin号 晶号 电压(V) 反向漏电流(uA) 色坐标(x,y) 相关色温(K) 色差 主波长(nm) 色纯度(%) 峰值波长(nm) 显色性指数 光通量(lm) 辐射通量(mW) 光效 
--            --             -- 2 2.437 0.0 0.4752,0.4239 2597 3.64E-003 583.7 69.9 725.7 78.7 5.20 0.04 0.00
23 2017_10_23_11:09:58_119 3 0 1.838 0.2 0.4589,0.4092 2648 5.59E-004 583.4 63.7 687.2 78.4 6.56 0.05 18.11
--            --             -- 1 2.778 0.0 0.4518,0.4310 2972 8.34E-003 580.5 65.0 744.9 82.5 7.84 0.04 0.00
--            --             -- 2 2.436 0.1 0.4535,0.4267 2915 6.57E-003 581.2 64.2 724.1 85.3 8.20 0.04 48.08
24 2017_10_23_11:09:58_231 3 0 1.836 0.3 0.4487,0.4029 2741 -9.22E-004 583.4 58.7 728.0 92.4 9.44 0.07 19.20
--            --             -- 1 2.780 0.2 0.4566,0.4204 2822 3.91E-003 582.4 63.3 763.3 89.3 9.24 0.05 13.85
--            --             -- 2 2.440 0.2 0.4517,0.4251 2930 6.19E-003 581.2 63.2 717.3 90.9 10.69 0.06 21.90
25 2017_10_23_11:09:58_353 3 0 1.835 1.6 0.4343,0.4272 3151 1.00E-002 578.3 61.7 717.8 91.1 10.26 0.06 3.69
--            --             -- 1 2.777 1.3 0.4575,0.4238 2834 5.05E-003 582.0 64.6 760.0 90.5 12.81 0.08 3.60
--            --             -- 2 2.436 0.6 0.4533,0.4204 2871 4.28E-003 582.0 62.3 686.4 93.5 10.69 0.06 7.57
26 2017_10_23_11:09:58_475 3 0 1.837 0.7 0.4464,0.4097 2828 1.85E-003 582.1 60.1 705.3 92.3 11.91 0.07 9.88
--            --             -- 1 2.778 0.9 0.4616,0.4205 2752 3.48E-003 582.9 64.8 725.5 90.3 11.91 0.08 4.76
--            --             -- 2 2.438 1.1 0.4551,0.4208 2847 4.21E-003 582.2 62.9 699.8 93.0 12.15 0.07 4.37
27 2017_10_23_11:09:58_589 3 0 1.838 0.3 0.4348,0.4147 3048 5.20E-003 580.1 58.1 717.1 84.3 10.90 0.06 22.02
--            --             -- 1 2.779 0.3 0.4613,0.4273 2808 5.97E-003 581.9 66.8 687.4 91.2 11.97 0.07 15.96
--            --             -- 2 2.435 0.3 0.4486,0.4232 2964 5.88E-003 581.2 61.7 722.9 91.5 12.15 0.07 17.21
