96 2017_06_07 15:12:28 457 402.8940.21.0100,0.01001001-6.56E-001769.0100.0480.9非数字1.000.000.00
97 2017_06_07 15:12:28 485 402.8910.31.0100,0.01001001-6.56E-001769.0100.0480.9非数字1.000.000.00
98 2017_06_07 15:12:28 514 402.8930.31.0100,0.01001001-6.56E-001769.0100.0480.9非数字1.000.000.00
99 2017_06_07 15:12:28 544 402.8890.31.0100,0.01001001-6.56E-001769.0100.0480.9非数字1.000.000.00
100 2017_06_07 15:12:28 572 402.8940.31.0100,0.01001001-6.56E-001769.0100.0480.9非数字1.000.000.00
101 2017_06_07 15:12:28 600 402.8960.31.0100,0.01001001-6.56E-001769.0100.0480.9非数字1.000.000.00
102 2017_06_07 15:12:28 626 402.9000.31.0100,0.01001001-6.56E-001769.0100.0480.9非数字1.000.000.00
103 2017_06_07 15:12:28 651 402.9030.21.0100,0.01001001-6.56E-001769.0100.0481.0非数字1.000.000.00
104 2017_06_07 15:12:28 675 402.8950.31.0100,0.01001001-6.56E-001769.0100.0480.9非数字1.000.000.00
105 2017_06_07 15:12:28 698 402.8930.31.0100,0.01001001-6.56E-001769.0100.0480.9非数字1.000.000.00
106 2017_06_07 15:12:28 721 402.8930.31.0100,0.01001001-6.56E-001769.0100.0481.0非数字1.000.000.00
107 2017_06_07 15:12:29 336 402.8920.31.0100,0.01001001-6.56E-001769.0100.0480.9非数字1.000.000.00
108 2017_06_07 15:12:29 359 402.8960.31.0100,0.01001001-6.56E-001769.0100.0480.9非数字1.000.000.00
109 2017_06_07 15:12:29 384 402.8990.31.0100,0.01001001-6.56E-001769.0100.0480.9非数字1.000.000.00
110 2017_06_07 15:12:29 407 402.9030.21.0100,0.01001001-6.56E-001769.0100.0480.9非数字1.000.000.00
111 2017_06_07 15:12:29 430 402.8970.21.0100,0.01001001-6.56E-001769.0100.0480.9非数字1.000.000.00
112 2017_06_07 15:12:29 452 402.8950.21.0100,0.01001001-6.56E-001769.0100.0480.9非数字1.000.000.00
113 2017_06_07 15:12:29 475 402.8930.21.0100,0.01001001-6.56E-001769.0100.0480.9非数字1.000.000.00
114 2017_06_07 15:12:29 500 402.8920.31.0100,0.01001001-6.56E-001769.0100.0481.0非数字1.000.000.00
115 2017_06_07 15:12:29 523 402.8950.31.0100,0.01001001-6.56E-001769.0100.0481.0非数字1.000.000.00
116 2017_06_07 15:12:29 546 402.8970.31.0100,0.01001001-6.56E-001769.0100.0481.0非数字1.000.000.00
117 2017_06_07 15:12:29 569 402.8900.21.0100,0.01001001-6.56E-001769.0100.0481.0非数字1.000.000.00
118 2017_06_07 15:12:29 593 402.8970.21.0100,0.01001001-6.56E-001769.0100.0481.0非数字1.000.000.00
119 2017_06_07 15:12:29 617 402.8970.31.0100,0.01001001-6.56E-001769.0100.0480.9非数字1.000.000.00
120 2017_06_07 15:12:29 639 402.9000.31.0100,0.01001001-6.56E-001769.0100.0480.9非数字1.000.000.00
121 2017_06_07 15:12:29 662 402.8930.31.0100,0.01001001-6.56E-001769.0100.0480.9非数字1.000.000.00
122 2017_06_07 15:12:29 685 402.8970.31.0100,0.01001001-6.56E-001769.0100.0480.9非数字1.000.000.00
123 2017_06_07 15:12:29 708 402.8970.21.0100,0.01001001-6.56E-001769.0100.0480.9非数字1.000.000.00
124 2017_06_07 15:12:29 732 402.8950.21.0100,0.01001001-6.56E-001769.0100.0480.9非数字1.000.000.00
125 2017_06_07 15:12:29 756 402.8990.21.0100,0.01001001-6.56E-001769.0100.0480.9非数字1.000.000.00
126 2017_06_07 15:12:29 782 402.9000.31.0100,0.01001001-6.56E-001769.0100.0480.8非数字1.000.000.00
127 2017_06_07 15:12:29 809 402.8970.31.0100,0.01001001-6.56E-001769.0100.0480.8非数字1.000.000.00
128 2017_06_07 15:12:29 835 402.9000.31.0100,0.01001001-6.56E-001769.0100.0480.8非数字1.000.000.00
129 2017_06_07 15:12:29 860 402.8930.31.0100,0.01001001-6.56E-001769.0100.0480.8非数字1.000.000.00
130 2017_06_07 15:12:29 884 402.8920.31.0100,0.01001001-6.56E-001769.0100.0480.8非数字1.000.000.00
131 2017_06_07 15:12:29 908 402.8960.21.0100,0.01001001-6.56E-001769.0100.0480.9非数字1.000.000.00
132 2017_06_07 15:12:29 931 402.8950.21.0100,0.01001001-6.56E-001769.0100.0480.9非数字1.000.000.00
133 2017_06_07 15:12:29 954 402.8920.31.0100,0.01001001-6.56E-001769.0100.0480.9非数字1.000.000.00
134 2017_06_07 15:12:29 978 402.8930.31.0100,0.01001001-6.56E-001769.0100.0480.9非数字1.000.000.00
135 2017_06_07 15:12:30 002 402.8930.31.0100,0.01001001-6.56E-001769.0100.0480.9非数字1.000.000.00
136 2017_06_07 15:12:30 025 402.9000.31.0100,0.01001001-6.56E-001769.0100.0480.9非数字1.000.000.00
137 2017_06_07 15:12:30 052 402.8920.21.0100,0.01001001-6.56E-001769.0100.0480.9非数字1.000.000.00
138 2017_06_07 15:12:30 077 402.8930.31.0100,0.01001001-6.56E-001769.0100.0480.9非数字1.000.000.00
139 2017_06_07 15:12:30 103 402.9000.31.0100,0.01001001-6.56E-001769.0100.0480.9非数字1.000.000.00
140 2017_06_07 15:12:30 129 402.8970.31.0100,0.01001001-6.56E-001769.0100.0480.9非数字1.000.000.00
141 2017_06_07 15:12:30 156 402.8990.21.0100,0.01001001-6.56E-001769.0100.0480.9非数字1.000.000.00
142 2017_06_07 15:12:30 181 402.8930.31.0100,0.01001001-6.56E-001769.0100.0480.9非数字1.000.000.00
143 2017_06_07 15:12:30 205 402.9000.31.0100,0.01001001-6.56E-001769.0100.0480.9非数字1.000.000.00
144 2017_06_07 15:12:30 229 402.8930.21.0100,0.01001001-6.56E-001769.0100.0480.9非数字1.000.000.00
145 2017_06_07 15:12:30 252 402.8930.21.0100,0.01001001-6.56E-001769.0100.0480.9非数字1.000.000.00
146 2017_06_07 15:12:30 277 402.8930.21.0100,0.01001001-6.56E-001769.0100.0480.9非数字1.000.000.00
147 2017_06_07 15:12:30 300 402.8920.31.0100,0.01001001-6.56E-001769.0100.0480.9非数字1.000.000.00
148 2017_06_07 15:12:30 323 402.8980.31.0100,0.01001001-6.56E-001769.0100.0480.8非数字1.000.000.00
149 2017_06_07 15:12:30 347 402.8990.21.0100,0.01001001-6.56E-001769.0100.0480.8非数字1.000.000.00
150 2017_06_07 15:12:30 369 402.8930.21.0100,0.01001001-6.56E-001769.0100.0480.8非数字1.000.000.00
151 2017_06_07 15:12:30 394 402.8930.31.0100,0.01001001-6.56E-001769.0100.0480.8非数字1.000.000.00
152 2017_06_07 15:12:30 417 402.8930.31.0100,0.01001001-6.56E-001769.0100.0480.8非数字1.000.000.00
153 2017_06_07 15:12:30 440 402.8970.31.0100,0.01001001-6.56E-001769.0100.0480.8非数字1.000.000.00
154 2017_06_07 15:12:30 464 402.9060.31.0100,0.01001001-6.56E-001769.0100.0480.8非数字1.000.000.00
