 记录条数:28 2017_06_07 15:10:40 029  bin号:4 晶号:0 电压(V):2.893 反向漏电流(uA):0.2 色坐标(x,y):1.0100,0.0100 相关色温(K):1001 色差:-6.56E-001 主波长(nm):769.0 色纯度(%):100.0 峰值波长(nm):551.7 显色性指数:非数字 光通量(lm):1.00 辐射通量(mW):0.00 光效:0.00
 记录条数:29 2017_06_07 15:10:40 053  bin号:4 晶号:0 电压(V):2.893 反向漏电流(uA):0.2 色坐标(x,y):1.0100,0.0100 相关色温(K):1001 色差:-6.56E-001 主波长(nm):769.0 色纯度(%):100.0 峰值波长(nm):551.8 显色性指数:非数字 光通量(lm):1.00 辐射通量(mW):0.00 光效:0.00
 记录条数:30 2017_06_07 15:10:40 077  bin号:4 晶号:0 电压(V):2.897 反向漏电流(uA):0.3 色坐标(x,y):1.0100,0.0100 相关色温(K):1001 色差:-6.56E-001 主波长(nm):769.0 色纯度(%):100.0 峰值波长(nm):551.9 显色性指数:非数字 光通量(lm):1.00 辐射通量(mW):0.00 光效:0.00
 记录条数:31 2017_06_07 15:10:40 101  bin号:4 晶号:0 电压(V):2.897 反向漏电流(uA):0.2 色坐标(x,y):1.0100,0.0100 相关色温(K):1001 色差:-6.56E-001 主波长(nm):769.0 色纯度(%):100.0 峰值波长(nm):551.9 显色性指数:非数字 光通量(lm):1.00 辐射通量(mW):0.00 光效:0.00
 记录条数:32 2017_06_07 15:10:40 125  bin号:4 晶号:0 电压(V):2.891 反向漏电流(uA):0.2 色坐标(x,y):1.0100,0.0100 相关色温(K):1001 色差:-6.56E-001 主波长(nm):769.0 色纯度(%):100.0 峰值波长(nm):500.1 显色性指数:非数字 光通量(lm):1.00 辐射通量(mW):0.00 光效:0.00
 记录条数:33 2017_06_07 15:10:40 148  bin号:4 晶号:0 电压(V):2.897 反向漏电流(uA):0.2 色坐标(x,y):1.0100,0.0100 相关色温(K):1001 色差:-6.56E-001 主波长(nm):769.0 色纯度(%):100.0 峰值波长(nm):500.0 显色性指数:非数字 光通量(lm):1.00 辐射通量(mW):0.00 光效:0.00
 记录条数:34 2017_06_07 15:10:40 171  bin号:4 晶号:0 电压(V):2.894 反向漏电流(uA):0.2 色坐标(x,y):1.0100,0.0100 相关色温(K):1001 色差:-6.56E-001 主波长(nm):769.0 色纯度(%):100.0 峰值波长(nm):499.9 显色性指数:非数字 光通量(lm):1.00 辐射通量(mW):0.00 光效:0.00
 记录条数:35 2017_06_07 15:10:40 195  bin号:4 晶号:0 电压(V):2.895 反向漏电流(uA):0.2 色坐标(x,y):1.0100,0.0100 相关色温(K):1001 色差:-6.56E-001 主波长(nm):769.0 色纯度(%):100.0 峰值波长(nm):499.9 显色性指数:非数字 光通量(lm):1.00 辐射通量(mW):0.00 光效:0.00
 记录条数:36 2017_06_07 15:10:40 221  bin号:4 晶号:0 电压(V):2.897 反向漏电流(uA):0.3 色坐标(x,y):1.0100,0.0100 相关色温(K):1001 色差:-6.56E-001 主波长(nm):769.0 色纯度(%):100.0 峰值波长(nm):498.1 显色性指数:非数字 光通量(lm):1.00 辐射通量(mW):0.00 光效:0.00
 记录条数:37 2017_06_07 15:10:40 248  bin号:4 晶号:0 电压(V):2.896 反向漏电流(uA):0.2 色坐标(x,y):1.0100,0.0100 相关色温(K):1001 色差:-6.56E-001 主波长(nm):769.0 色纯度(%):100.0 峰值波长(nm):500.0 显色性指数:非数字 光通量(lm):1.00 辐射通量(mW):0.00 光效:0.00
 记录条数:38 2017_06_07 15:10:40 274  bin号:4 晶号:0 电压(V):2.893 反向漏电流(uA):0.2 色坐标(x,y):1.0100,0.0100 相关色温(K):1001 色差:-6.56E-001 主波长(nm):769.0 色纯度(%):100.0 峰值波长(nm):500.1 显色性指数:非数字 光通量(lm):1.00 辐射通量(mW):0.00 光效:0.00
 记录条数:39 2017_06_07 15:10:40 300  bin号:4 晶号:0 电压(V):2.919 反向漏电流(uA):0.3 色坐标(x,y):1.0100,0.0100 相关色温(K):1001 色差:-6.56E-001 主波长(nm):769.0 色纯度(%):100.0 峰值波长(nm):500.0 显色性指数:非数字 光通量(lm):1.00 辐射通量(mW):0.00 光效:0.00
 记录条数:40 2017_06_07 15:10:40 327  bin号:4 晶号:0 电压(V):2.898 反向漏电流(uA):0.2 色坐标(x,y):1.0100,0.0100 相关色温(K):1001 色差:-6.56E-001 主波长(nm):769.0 色纯度(%):100.0 峰值波长(nm):498.3 显色性指数:非数字 光通量(lm):1.00 辐射通量(mW):0.00 光效:0.00
 记录条数:41 2017_06_07 15:10:40 354  bin号:4 晶号:0 电压(V):2.893 反向漏电流(uA):0.2 色坐标(x,y):1.0100,0.0100 相关色温(K):1001 色差:-6.56E-001 主波长(nm):769.0 色纯度(%):100.0 峰值波长(nm):498.1 显色性指数:非数字 光通量(lm):1.00 辐射通量(mW):0.00 光效:0.00
 记录条数:42 2017_06_07 15:10:40 380  bin号:4 晶号:0 电压(V):2.897 反向漏电流(uA):0.3 色坐标(x,y):1.0100,0.0100 相关色温(K):1001 色差:-6.56E-001 主波长(nm):769.0 色纯度(%):100.0 峰值波长(nm):498.1 显色性指数:非数字 光通量(lm):1.00 辐射通量(mW):0.00 光效:0.00
 记录条数:43 2017_06_07 15:10:40 407  bin号:4 晶号:0 电压(V):2.894 反向漏电流(uA):0.2 色坐标(x,y):1.0100,0.0100 相关色温(K):1001 色差:-6.56E-001 主波长(nm):769.0 色纯度(%):100.0 峰值波长(nm):498.1 显色性指数:非数字 光通量(lm):1.00 辐射通量(mW):0.00 光效:0.00
 记录条数:44 2017_06_07 15:10:40 433  bin号:4 晶号:0 电压(V):2.890 反向漏电流(uA):0.2 色坐标(x,y):1.0100,0.0100 相关色温(K):1001 色差:-6.56E-001 主波长(nm):769.0 色纯度(%):100.0 峰值波长(nm):494.9 显色性指数:非数字 光通量(lm):1.00 辐射通量(mW):0.00 光效:0.00
 记录条数:45 2017_06_07 15:10:40 457  bin号:4 晶号:0 电压(V):2.891 反向漏电流(uA):0.2 色坐标(x,y):1.0100,0.0100 相关色温(K):1001 色差:-6.56E-001 主波长(nm):769.0 色纯度(%):100.0 峰值波长(nm):494.8 显色性指数:非数字 光通量(lm):1.00 辐射通量(mW):0.00 光效:0.00
 记录条数:46 2017_06_07 15:10:40 483  bin号:4 晶号:0 电压(V):2.893 反向漏电流(uA):0.2 色坐标(x,y):1.0100,0.0100 相关色温(K):1001 色差:-6.56E-001 主波长(nm):769.0 色纯度(%):100.0 峰值波长(nm):494.8 显色性指数:非数字 光通量(lm):1.00 辐射通量(mW):0.00 光效:0.00
 记录条数:47 2017_06_07 15:10:40 509  bin号:4 晶号:0 电压(V):2.900 反向漏电流(uA):0.2 色坐标(x,y):1.0100,0.0100 相关色温(K):1001 色差:-6.56E-001 主波长(nm):769.0 色纯度(%):100.0 峰值波长(nm):494.9 显色性指数:非数字 光通量(lm):1.00 辐射通量(mW):0.00 光效:0.00
 记录条数:48 2017_06_07 15:10:40 536  bin号:4 晶号:0 电压(V):2.897 反向漏电流(uA):0.2 色坐标(x,y):1.0100,0.0100 相关色温(K):1001 色差:-6.56E-001 主波长(nm):769.0 色纯度(%):100.0 峰值波长(nm):494.8 显色性指数:非数字 光通量(lm):1.00 辐射通量(mW):0.00 光效:0.00
 记录条数:49 2017_06_07 15:10:40 568  bin号:4 晶号:0 电压(V):2.896 反向漏电流(uA):0.2 色坐标(x,y):1.0100,0.0100 相关色温(K):1001 色差:-6.56E-001 主波长(nm):769.0 色纯度(%):100.0 峰值波长(nm):494.8 显色性指数:非数字 光通量(lm):1.00 辐射通量(mW):0.00 光效:0.00
 记录条数:50 2017_06_07 15:10:40 595  bin号:4 晶号:0 电压(V):2.898 反向漏电流(uA):0.2 色坐标(x,y):1.0100,0.0100 相关色温(K):1001 色差:-6.56E-001 主波长(nm):769.0 色纯度(%):100.0 峰值波长(nm):494.8 显色性指数:非数字 光通量(lm):1.00 辐射通量(mW):0.00 光效:0.00
 记录条数:51 2017_06_07 15:10:40 622  bin号:4 晶号:0 电压(V):2.897 反向漏电流(uA):0.2 色坐标(x,y):1.0100,0.0100 相关色温(K):1001 色差:-6.56E-001 主波长(nm):769.0 色纯度(%):100.0 峰值波长(nm):494.8 显色性指数:非数字 光通量(lm):1.00 辐射通量(mW):0.00 光效:0.00
 记录条数:52 2017_06_07 15:10:40 646  bin号:4 晶号:0 电压(V):2.893 反向漏电流(uA):0.2 色坐标(x,y):1.0100,0.0100 相关色温(K):1001 色差:-6.56E-001 主波长(nm):769.0 色纯度(%):100.0 峰值波长(nm):496.5 显色性指数:非数字 光通量(lm):1.00 辐射通量(mW):0.00 光效:0.00
