 记录条数:72 2017_06_05 11:18:13 059  bin号:5 晶号:0 电压(V):11.533 反向漏电流(uA):4.8色坐标(x,y)0.5744,0.4160相关色温(K)1688色差7.59E-004主波长(nm)593.0色纯度(%)91.2峰值波长(nm)716.2显色性指数87.0光通量(lm)7.69辐射通量(mW)0.05光效0.12
 记录条数:73 2017_06_05 11:18:13 088  bin号:5 晶号:0 电压(V):11.530 反向漏电流(uA):4.7色坐标(x,y)0.5744,0.4160相关色温(K)1688色差7.59E-004主波长(nm)593.0色纯度(%)91.2峰值波长(nm 记录条数:79 2017_06_05 11:18:13 285  bin号:5 晶号:0 电压(V):11.524 反向漏电流(uA):4.8色坐标(x,y)0.5736,0.4169相关色温(K)1698色差9.34E-004主波长(nm)592.8色纯度(%)91.3峰值波长(nm)716.1显色性指数87.2光通量(lm)7.62辐射通量(mW)0.05光效0.12
 记录条数:80 2017_06_05 11:18:13 319  bin号:5 晶号:0 电压(V):11.533 反向漏电流(uA):4.8色坐标(x,y)0.5738,0.4168相关色温(K)1696色差8.98E-004主波长(nm)592.8色纯度(%)91.3峰值波长(nm)716.1显色性指数87.1光通量(lm)7.63辐射通量(mW)0.05光效0.12
 记录条数:81 2017_06_05 11:18:13 353  bin号:5 晶号:0 电压(V):11.525 反向漏电流(uA):4.8色坐标(x,y)0.5738,0.4167相关色温(K)1696色差-8.93E-004主波长(nm)592.8色纯度(%)91.3峰值波长(nm)716.2显色性指数87.1光通量(lm)7.63辐射通量(mW)0.05光效0.12
 记录条数:82 2017_06_05 11:18:13 388  bin号:5 晶号:0 电压(V):11.530 反向漏电流(uA):4.7色坐标(x,y)0.5738,0.4167相关色温(K)1696色差-8.97E-004主波长(nm)592.8色纯度(%)91.3峰值波长(nm)716.1显色性指数87.1光通量(lm)7.62辐射通量(mW)0.05光效0.12
 记录条数:83 2017_06_05 11:18:13 422  bin号:5 晶号:0 电压(V):11.525 反向漏电流(uA):4.8色坐标(x,y)0.5738,0.4168相关色温(K)1696色差9.07E-004主波长(nm)592.8色纯度(%)91.3峰值波长(nm)716.2显色性指数87.0光通量(lm)7.62辐射通量(mW)0.05光效0.12
 记录条数:84 2017_06_05 11:18:13 457  bin号:5 晶号:0 电压(V):11.520 反向漏电流(uA):4.8色坐标(x,y)0.5739,0.4166相关色温(K)1695色差8.81E-004主波长(nm)592.9色纯度(%)91.3峰值波长(nm)716.2显色性指数87.0光通量(lm)7.62辐射通量(mW)0.05光效0.12
 记录条数:85 2017_06_05 11:18:13 491  bin号:5 晶号:0 电压(V):11.533 反向漏电流(uA):4.8色坐标(x,y)0.5740,0.4166相关色温(K)1694色差8.71E-004主波长(nm)592.9色纯度(%)91.3峰值波长(nm)716.2显色性指数87.0光通量(lm)7.62辐射通量(mW)0.05光效0.12
 记录条数:86 2017_06_05 11:18:13 523  bin号:5 晶号:0 电压(V):11.527 反向漏电流(uA):4.7色坐标(x,y)0.5739,0.4166相关色温(K)1695色差-8.73E-004主波长(nm)592.9色纯度(%)91.3峰值波长(nm)716.2显色性指数86.9光通量(lm)7.62辐射通量(mW)0.05光效0.12
 记录条数:87 2017_06_05 11:18:13 556  bin号:5 晶号:0 电压(V):11.524 反向漏电流(uA):4.7色坐标(x,y)0.5738,0.4167相关色温(K)1696色差-8.91E-004主波长(nm)592.8色纯度(%)91.3峰值波长(nm)716.2显色性指数86.9光通量(lm)7.61辐射通量(mW)0.05光效0.12
