 记录条数:34 2017_06_05 11:48:21 835  bin号:5 晶号:0 电压(V):11.607 反向漏电流(uA):0.7色坐标(x,y)0.5751,0.4092相关色温(K)1648色差8.87E-004主波长(nm)594.0色纯度(%)89.5峰值波长(nm)746.9显色性指数94.8光通量(lm)9.53辐射通量(mW)0.10光效1.08
 记录条数:35 2017_06_05 11:48:21 853  bin号:5 晶号:0 电压(V):11.634 反向漏电流(uA):0.7色坐标(x,y)0.5752,0.4091相关色温(K)1647色差-9.11E-004主波长(nm)594.1色纯度(%)89.5峰值波长(nm)746.9显色性指数94.7光通量(lm)9.56辐射通量(mW)0.10光效1.08
 记录条数:36 2017_06_05 11:48:21 871  bin号:5 晶号:0 电压(V):11.621 反向漏电流(uA):0.7色坐标(x,y)0.5752,0.4093相关色温(K)1648色差8.66E-004主波长(nm)594.0色纯度(%)89.5峰值波长(nm)746.9显色性指数94.5光通量(lm)9.55辐射通量(mW)0.10光效1.10
 记录条数:37 2017_06_05 11:48:21 890  bin号:5 晶号:0 电压(V):11.630 反向漏电流(uA):0.7色坐标(x,y)0.5750,0.4095相关色温(K)1650色差-8.42E-004主波长(nm)594.0色纯度(%)89.5峰值波长(nm)746.9显色性指数94.4光通量(lm)9.53辐射通量(mW)0.10光效1.09
 记录条数:38 2017_06_05 11:48:21 907  bin号:5 晶号:0 电压(V):11.621 反向漏电流(uA):0.7色坐标(x,y)0.5749,0.4095相关色温(K)1651色差-8.46E-004主波长(nm)594.0色纯度(%)89.5峰值波长(nm)746.9显色性指数94.4光通量(lm)9.53辐射通量(mW)0.10光效1.11
 记录条数:39 2017_06_05 11:48:21 927  bin号:5 晶号:0 电压(V):11.624 反向漏电流(uA):0.7色坐标(x,y)0.5749,0.4095相关色温(K)1651色差-8.34E-004主波长(nm)594.0色纯度(%)89.5峰值波长(nm)746.9显色性指数94.3光通量(lm)9.54辐射通量(mW)0.10光效1.13
 记录条数:40 2017_06_05 11:48:21 945  bin号:5 晶号:0 电压(V):11.621 反向漏电流(uA):0.7色坐标(x,y)0.5748,0.4097相关色温(K)1652色差8.05E-004主波长(nm)593.9色纯度(%)89.5峰值波长(nm)746.9显色性指数94.0光通量(lm)9.52辐射通量(mW)0.10光效1.08
 记录条数:41 2017_06_05 11:48:21 964  bin号:5 晶号:0 电压(V):11.601 反向漏电流(uA):0.6色坐标(x,y)0.5748,0.4097相关色温(K)1653色差-7.96E-004主波长(nm)593.9色纯度(%)89.5峰值波长(nm)746.9显色性指数94.1光通量(lm)9.52辐射通量(mW)0.10光效1.17
 记录条数:42 2017_06_05 11:48:21 983  bin号:5 晶号:0 电压(V):11.641 反向漏电流(uA):0.6色坐标(x,y)0.5747,0.4098相关色温(K)1654色差-7.77E-004主波长(nm)593.9色纯度(%)89.5峰值波长(nm)746.9显色性指数93.9光通量(lm)9.52辐射通量(mW)0.10光效1.14
 记录条数:43 2017_06_05 11:48:22 006  bin号:5 晶号:0 电压(V):11.621 反向漏电流(uA):0.7色坐标(x,y)0.5746,0.4099相关色温(K)1655色差-7.68E-004主波长(nm)593.9色纯度(%)89.5峰值波长(nm)747.0显色性指数93.7光通量(lm)9.52辐射通量(mW)0.10光效1.13
